window_start,window_end,packets,bytes,duration,avg_pkt_size,throughput,pkt_rate,class
1693897367.577452,1693897368.577452,1732,1021477,1.000000,589.7673210161663,1021477,1732,video
1693897368.577452,1693897369.577452,2168,1263534,1.000000,582.8108856088561,1263534,2168,video
1693897369.577452,1693897370.577452,1855,1160732,1.000000,625.7315363881402,1160732,1855,video
1693897370.577452,1693897371.577452,1702,1062796,1.000000,624.4394829612221,1062796,1702,video
1693897371.577452,1693897372.577452,2017,1252129,1.000000,620.7878036688151,1252129,2017,video
1693897372.577452,1693897373.577452,1780,1121428,1.000000,630.0157303370787,1121428,1.78E+3,video
1693897373.577452,1693897374.577452,1752,1100789,1.000000,628.3042237442922,1100789,1752,video
1693897374.577452,1693897375.577452,1899,1194667,1.000000,629.1032122169563,1194667,1899,video
1693897375.577452,1693897376.577452,1690,1055580,1.000000,624.603550295858,1.05558E+6,1.69E+3,video
1693897376.577452,1693897377.577452,1755,1076972,1.000000,613.6592592592592,1076972,1755,video
1693897377.577452,1693897378.577452,2094,1311519,1.000000,626.3223495702006,1311519,2094,video
1693897378.577452,1693897379.577452,1572,987117,1.000000,627.9370229007634,987117,1572,video
1693897379.577452,1693897380.577452,1847,1161316,1.000000,628.7579859231186,1161316,1847,video
1693897380.577452,1693897381.577452,2038,1277120,1.000000,626.6535819430815,1.27712E+6,2038,video
1693897381.577452,1693897382.577452,1633,1014739,1.000000,621.3955909369259,1014739,1633,video
1693897382.577452,1693897383.577452,1857,1161892,1.000000,625.6822832525579,1161892,1857,video
1693897383.577452,1693897384.577452,2103,1316233,1.000000,625.8834997622445,1316233,2103,video
1693897384.577452,1693897385.577452,1686,1040373,1.000000,617.0658362989324,1040373,1686,video
1693897385.577452,1693897386.577452,1806,1139165,1.000000,630.7668881506091,1139165,1806,video
1693897386.577452,1693897387.577452,1956,1232513,1.000000,630.1191206543967,1232513,1956,video
1693897387.577452,1693897388.577452,1532,965514,1.000000,630.2310704960836,965514,1532,video
1693897388.577452,1693897389.577452,1796,1119168,1.000000,623.1447661469933,1119168,1796,video
1693897389.577452,1693897390.577452,5189,3337316,1.000000,643.1520524185778,3337316,5189,video
1693897390.577452,1693897391.577452,7971,4587207,1.000000,575.4870154309372,4587207,7971,video
1693897391.577452,1693897392.577452,2929,1485017,1.000000,507.0047797883237,1485017,2929,video
1693897392.577452,1693897393.577452,2675,1426635,1.000000,533.3214953271028,1426635,2675,video
1693897393.577452,1693897394.577452,2896,1594968,1.000000,550.7486187845304,1594968,2896,video
1693897394.577452,1693897395.577452,13677,8356873,1.000000,611.0165240915405,8356873,13677,video
1693897395.577452,1693897396.577452,4193,2447941,1.000000,583.8161221082757,2447941,4193,video
1693897396.577452,1693897397.577452,699,368545,1.000000,527.2460658082975,368545,699,video
1693897397.577452,1693897398.577452,1431,861404,1.000000,601.9594689028652,861404,1431,video
1693897398.577452,1693897399.577452,2003,1210584,1.000000,604.3854218671992,1210584,2003,video
1693897399.577452,1693897400.577452,2461,1406044,1.000000,571.3303535148314,1406044,2461,video
1693897400.577452,1693897401.577452,813,436501,1.000000,536.9015990159902,436501,813,video
1693897401.577452,1693897402.577452,6872,4247970,1.000000,618.156286379511,4.24797E+6,6872,video
1693897402.577452,1693897403.577452,4517,2779080,1.000000,615.2490591100287,2.77908E+6,4517,video
1693897403.577452,1693897404.577452,1269,717624,1.000000,565.5035460992908,717624,1269,video
1693897404.577452,1693897405.577452,864,520182,1.000000,602.0625,520182,864,video
1693897405.577452,1693897406.577452,5981,3636262,1.000000,607.9689015214847,3636262,5981,video
1693897406.577452,1693897407.577452,3179,1931895,1.000000,607.7052532242843,1931895,3179,video
1693897407.577452,1693897408.577452,17666,10168168,1.000000,575.5783991848749,10168168,17666,video
1693897408.577452,1693897409.577452,1720,823351,1.000000,478.6924418604651,823351,1.72E+3,video
1693897409.577452,1693897410.577452,1374,709722,1.000000,516.5371179039302,709722,1374,video
1693897410.577452,1693897411.577452,1319,688934,1.000000,522.3153904473086,688934,1319,video
1693897411.577452,1693897412.577452,1674,1147472,1.000000,685.4671445639187,1147472,1674,video
1693897412.577452,1693897413.577452,1586,1055732,1.000000,665.656998738966,1055732,1586,video
1693897413.577452,1693897414.577452,2259,1361639,1.000000,602.7618415227977,1361639,2259,video
1693897414.577452,1693897415.577452,1210,773177,1.000000,638.9892561983471,773177,1.21E+3,video
1693897415.577452,1693897416.577452,525,702871,1.000000,1338.8019047619048,702871,525,video
1693897416.577452,1693897417.577452,483,651468,1.000000,1348.7950310559006,651468,483,video
1693897417.577452,1693897418.577452,514,687801,1.000000,1338.134241245136,687801,514,video
1693897418.577452,1693897419.577452,542,672437,1.000000,1240.6586715867159,672437,542,video
1693897419.577452,1693897420.577452,496,674827,1.000000,1360.538306451613,674827,496,video
1693897420.577452,1693897421.577452,620,711124,1.000000,1146.9741935483871,711124,6.2E+2,video
1693897421.577452,1693897422.577452,534,631773,1.000000,1183.0955056179776,631773,534,video
1693897422.577452,1693897423.577452,517,669709,1.000000,1295.3752417794972,669709,517,video
1693897423.577452,1693897424.577452,530,687374,1.000000,1296.9320754716982,687374,5.3E+2,video
1693897424.577452,1693897425.577452,497,645678,1.000000,1299.1509054325957,645678,497,video
1693897425.577452,1693897426.577452,8090,5064741,1.000000,626.04956736712,5064741,8.09E+3,video
1693897426.577452,1693897427.577452,16755,9765444,1.000000,582.8376007162041,9765444,16755,video
1693897427.577452,1693897428.577452,4865,2925060,1.000000,601.2456320657759,2.92506E+6,4865,video
