window_start,window_end,packets,bytes,duration,avg_pkt_size,throughput,pkt_rate,class
1693899481.966343,1693899482.966343,1327,441153,1.000000,332.4438583270535,441153,1327,instant-message
1693899482.966343,1693899483.966343,3900,2135095,1.000000,547.4602564102564,2135095,3.9E+3,instant-message
1693899483.966343,1693899484.966343,1946,1011832,1.000000,519.9547790339158,1011832,1946,instant-message
1693899484.966343,1693899485.966343,1983,1027325,1.000000,518.066061522945,1027325,1983,instant-message
1693899485.966343,1693899486.966343,1944,1010193,1.000000,519.6466049382716,1010193,1944,instant-message
1693899486.966343,1693899487.966343,1825,963519,1.000000,527.9556164383562,963519,1825,instant-message
1693899487.966343,1693899488.966343,2130,1165852,1.000000,547.3483568075118,1165852,2.13E+3,instant-message
1693899488.966343,1693899489.966343,2431,1336331,1.000000,549.704236939531,1336331,2431,instant-message
1693899489.966343,1693899490.966343,2571,1421851,1.000000,553.0342279268767,1421851,2571,instant-message
1693899490.966343,1693899491.966343,2739,1523558,1.000000,556.2460752099306,1523558,2739,instant-message
1693899491.966343,1693899492.966343,2948,1663996,1.000000,564.449118046133,1663996,2948,instant-message
1693899492.966343,1693899493.966343,3164,1777466,1.000000,561.7781289506953,1777466,3164,instant-message
1693899493.966343,1693899494.966343,3364,1870133,1.000000,555.9253864447087,1870133,3364,instant-message
1693899494.966343,1693899495.966343,3397,1909278,1.000000,562.0482778922578,1909278,3397,instant-message
1693899495.966343,1693899496.966343,3663,2064718,1.000000,563.6685776685777,2064718,3663,instant-message
1693899496.966343,1693899497.966343,4086,2325418,1.000000,569.1184532550171,2325418,4086,instant-message
1693899497.966343,1693899498.966343,4307,2286752,1.000000,530.9384722544695,2286752,4307,instant-message
1693899498.966343,1693899499.966343,4396,2654319,1.000000,603.8032302092812,2654319,4396,instant-message
1693899499.966343,1693899500.966343,2646,1283486,1.000000,485.06651549508695,1283486,2646,instant-message
1693899500.966343,1693899501.966343,4850,2651104,1.000000,546.619381443299,2651104,4.85E+3,instant-message
1693899501.966343,1693899502.966343,1210,414682,1.000000,342.7123966942149,414682,1.21E+3,instant-message
1693899502.966343,1693899503.966343,20,1988,1.000000,99.4,1988,2E+1,instant-message
1693899503.966343,1693899504.966343,2,237,1.000000,118.5,237,2,instant-message
1693899505.966343,1693899506.966343,7,1574,1.000000,224.85714285714286,1574,7,instant-message
1693899506.966343,1693899507.966343,7,1792,1.000000,256.0,1792,7,instant-message
1693899508.966343,1693899509.966343,1,131,1.000000,131.0,131,1,instant-message
1693899510.966343,1693899511.966343,5,773,1.000000,154.6,773,5,instant-message
1693899511.966343,1693899512.966343,7,3740,1.000000,534.2857142857143,3.74E+3,7,instant-message
1693899513.966343,1693899514.966343,3,557,1.000000,185.66666666666666,557,3,instant-message
1693899514.966343,1693899515.966343,111,26248,1.000000,236.46846846846847,26248,111,instant-message
1693899515.966343,1693899516.966343,5,548,1.000000,109.6,548,5,instant-message
1693899516.966343,1693899517.966343,14,2646,1.000000,189.0,2646,14,instant-message
1693899517.966343,1693899518.966343,4,260,1.000000,65.0,2.6E+2,4,instant-message
1693899518.966343,1693899519.966343,3,255,1.000000,85.0,255,3,instant-message
1693899519.966343,1693899520.966343,3,523,1.000000,174.33333333333334,523,3,instant-message
1693899520.966343,1693899521.966343,13,2572,1.000000,197.84615384615384,2572,13,instant-message
1693899521.966343,1693899522.966343,8,4332,1.000000,541.5,4332,8,instant-message
1693899523.966343,1693899524.966343,11,901,1.000000,81.9090909090909,901,11,instant-message
1693899524.966343,1693899525.966343,8,1186,1.000000,148.25,1186,8,instant-message
1693899525.966343,1693899526.966343,1,144,1.000000,144.0,144,1,instant-message
1693899526.966343,1693899527.966343,3,186,1.000000,62.0,186,3,instant-message
1693899527.966343,1693899528.966343,4,1606,1.000000,401.5,1606,4,instant-message
1693899528.966343,1693899529.966343,1,131,1.000000,131.0,131,1,instant-message
1693899529.966343,1693899530.966343,2,266,1.000000,133.0,266,2,instant-message
1693899530.966343,1693899531.966343,22,1398,1.000000,63.54545454545455,1398,22,instant-message
1693899531.966343,1693899532.966343,6,4320,1.000000,720.0,4.32E+3,6,instant-message
1693899532.966343,1693899533.966343,5,792,1.000000,158.4,792,5,instant-message
1693899533.966343,1693899534.966343,5,1015,1.000000,203.0,1015,5,instant-message
1693899534.966343,1693899535.966343,4,1430,1.000000,357.5,1.43E+3,4,instant-message
1693899535.966343,1693899536.966343,1,144,1.000000,144.0,144,1,instant-message
1693899536.966343,1693899537.966343,7,638,1.000000,91.14285714285714,638,7,instant-message
1693899537.966343,1693899538.966343,2,250,1.000000,125.0,2.5E+2,2,instant-message
1693899538.966343,1693899539.966343,11,723,1.000000,65.72727272727273,723,11,instant-message
1693899539.966343,1693899540.966343,10,960,1.000000,96.0,9.6E+2,1E+1,instant-message
1693899540.966343,1693899541.966343,3,268,1.000000,89.33333333333333,268,3,instant-message
1693899541.966343,1693899542.966343,46,8256,1.000000,179.47826086956522,8256,46,instant-message
1693899542.966343,1693899543.966343,4,676,1.000000,169.0,676,4,instant-message
1693899543.966343,1693899544.966343,5,569,1.000000,113.8,569,5,instant-message
1693899544.966343,1693899545.966343,4,372,1.000000,93.0,372,4,instant-message
1693899545.966343,1693899546.966343,3,362,1.000000,120.66666666666667,362,3,instant-message
1693899546.966343,1693899547.966343,4,468,1.000000,117.0,468,4,instant-message
1693899547.966343,1693899548.966343,7,1220,1.000000,174.28571428571428,1.22E+3,7,instant-message
1693899548.966343,1693899549.966343,7,899,1.000000,128.42857142857142,899,7,instant-message
1693899549.966343,1693899550.966343,4,362,1.000000,90.5,362,4,instant-message
1693899550.966343,1693899551.966343,1,144,1.000000,144.0,144,1,instant-message
1693899551.966343,1693899552.966343,11,5255,1.000000,477.72727272727275,5255,11,instant-message
1693899552.966343,1693899553.966343,4,644,1.000000,161.0,644,4,instant-message
1693899553.966343,1693899554.966343,1,131,1.000000,131.0,131,1,instant-message
1693899554.966343,1693899555.966343,34,5228,1.000000,153.76470588235293,5228,34,instant-message
1693899555.966343,1693899556.966343,137,38296,1.000000,279.53284671532845,38296,137,instant-message
1693899557.966343,1693899558.966343,9,602,1.000000,66.88888888888889,602,9,instant-message
1693899558.966343,1693899559.966343,263,80221,1.000000,305.0228136882129,80221,263,instant-message
1693899559.966343,1693899560.966343,12,6478,1.000000,539.8333333333334,6478,12,instant-message
1693899560.966343,1693899561.966343,5,1844,1.000000,368.8,1844,5,instant-message
1693899561.966343,1693899562.966343,38,14743,1.000000,387.9736842105263,14743,38,instant-message
1693899562.966343,1693899563.966343,23,6092,1.000000,264.8695652173913,6092,23,instant-message
1693899563.966343,1693899564.966343,7,977,1.000000,139.57142857142858,977,7,instant-message
1693899564.966343,1693899565.966343,23,11280,1.000000,490.4347826086956,1.128E+4,23,instant-message
1693899565.966343,1693899566.966343,10,1802,1.000000,180.2,1802,1E+1,instant-message
1693899566.966343,1693899567.966343,3,372,1.000000,124.0,372,3,instant-message
1693899567.966343,1693899568.966343,2,124,1.000000,62.0,124,2,instant-message
1693899568.966343,1693899569.966343,2,193,1.000000,96.5,193,2,instant-message
1693899570.966343,1693899571.966343,8,880,1.000000,110.0,8.8E+2,8,instant-message
1693899571.966343,1693899572.966343,8,6377,1.000000,797.125,6377,8,instant-message
1693899573.966343,1693899574.966343,4,711,1.000000,177.75,711,4,instant-message
1693899574.966343,1693899575.966343,6,362,1.000000,60.333333333333336,362,6,instant-message
1693899575.966343,1693899576.966343,33,11932,1.000000,361.57575757575756,11932,33,instant-message
1693899578.966343,1693899579.966343,4,471,1.000000,117.75,471,4,instant-message
1693899579.966343,1693899580.966343,2,426,1.000000,213.0,426,2,instant-message
1693899580.966343,1693899581.966343,3,268,1.000000,89.33333333333333,268,3,instant-message
1693899581.966343,1693899582.966343,6,3488,1.000000,581.3333333333334,3488,6,instant-message
1693899583.966343,1693899584.966343,9,779,1.000000,86.55555555555556,779,9,instant-message
1693899584.966343,1693899585.966343,1,60,1.000000,60.0,6E+1,1,instant-message
1693899585.966343,1693899586.966343,3,272,1.000000,90.66666666666667,272,3,instant-message
1693899586.966343,1693899587.966343,4,550,1.000000,137.5,5.5E+2,4,instant-message
1693899587.966343,1693899588.966343,3,186,1.000000,62.0,186,3,instant-message
1693899588.966343,1693899589.966343,136,39316,1.000000,289.0882352941176,39316,136,instant-message
1693899589.966343,1693899590.966343,6,642,1.000000,107.0,642,6,instant-message
1693899590.966343,1693899591.966343,2,206,1.000000,103.0,206,2,instant-message
1693899591.966343,1693899592.966343,11,5196,1.000000,472.3636363636364,5196,11,instant-message
1693899592.966343,1693899593.966343,2,124,1.000000,62.0,124,2,instant-message
1693899593.966343,1693899594.966343,1,131,1.000000,131.0,131,1,instant-message
1693899594.966343,1693899595.966343,2,426,1.000000,213.0,426,2,instant-message
1693899595.966343,1693899596.966343,5,892,1.000000,178.4,892,5,instant-message
1693899596.966343,1693899597.966343,12,2436,1.000000,203.0,2436,12,instant-message
1693899598.966343,1693899599.966343,1,131,1.000000,131.0,131,1,instant-message
1693899599.966343,1693899600.966343,2,124,1.000000,62.0,124,2,instant-message
1693899600.966343,1693899601.966343,10,1758,1.000000,175.8,1758,1E+1,instant-message
1693899601.966343,1693899602.966343,20,8198,1.000000,409.9,8198,2E+1,instant-message
1693899602.966343,1693899603.966343,4,356,1.000000,89.0,356,4,instant-message
1693899603.966343,1693899604.966343,4,472,1.000000,118.0,472,4,instant-message
1693899604.966343,1693899605.966343,6,1035,1.000000,172.5,1035,6,instant-message
1693899605.966343,1693899606.966343,32,5601,1.000000,175.03125,5601,32,instant-message
1693899606.966343,1693899607.966343,3,333,1.000000,111.0,333,3,instant-message
1693899607.966343,1693899608.966343,2,330,1.000000,165.0,3.3E+2,2,instant-message
1693899608.966343,1693899609.966343,1,131,1.000000,131.0,131,1,instant-message
1693899609.966343,1693899610.966343,10,1432,1.000000,143.2,1432,1E+1,instant-message
1693899610.966343,1693899611.966343,206,113684,1.000000,551.8640776699029,113684,206,instant-message
1693899611.966343,1693899612.966343,10,5524,1.000000,552.4,5524,1E+1,instant-message
