window_start,window_end,packets,bytes,duration,avg_pkt_size,throughput,pkt_rate,class
1693898063.251076,1693898064.251076,30,3445,1.000000,114.83333333333333,3445,3E+1,web-browsing
1693898064.251076,1693898065.251076,18,3322,1.000000,184.55555555555554,3322,18,web-browsing
1693898065.251076,1693898066.251076,66,5579,1.000000,84.53030303030303,5579,66,web-browsing
1693898066.251076,1693898067.251076,13,994,1.000000,76.46153846153847,994,13,web-browsing
1693898067.251076,1693898068.251076,29,4570,1.000000,157.58620689655172,4.57E+3,29,web-browsing
1693898068.251076,1693898069.251076,34,8547,1.000000,251.38235294117646,8547,34,web-browsing
1693898069.251076,1693898070.251076,47,9667,1.000000,205.68085106382978,9667,47,web-browsing
1693898070.251076,1693898071.251076,5,416,1.000000,83.2,416,5,web-browsing
1693898071.251076,1693898072.251076,18,1224,1.000000,68.0,1224,18,web-browsing
1693898072.251076,1693898073.251076,34,6592,1.000000,193.88235294117646,6592,34,web-browsing
1693898073.251076,1693898074.251076,35,7686,1.000000,219.6,7686,35,web-browsing
1693898074.251076,1693898075.251076,5,420,1.000000,84.0,4.2E+2,5,web-browsing
1693898075.251076,1693898076.251076,30,4824,1.000000,160.8,4824,3E+1,web-browsing
1693898076.251076,1693898077.251076,94,7986,1.000000,84.95744680851064,7986,94,web-browsing
1693898077.251076,1693898078.251076,29,12514,1.000000,431.51724137931035,12514,29,web-browsing
1693898078.251076,1693898079.251076,13,2118,1.000000,162.92307692307693,2118,13,web-browsing
1693898079.251076,1693898080.251076,7,542,1.000000,77.42857142857143,542,7,web-browsing
1693898080.251076,1693898081.251076,99,6823,1.000000,68.91919191919192,6823,99,web-browsing
1693898081.251076,1693898082.251076,37,4259,1.000000,115.10810810810811,4259,37,web-browsing
1693898082.251076,1693898083.251076,28,2014,1.000000,71.92857142857143,2014,28,web-browsing
1693898083.251076,1693898084.251076,24,1814,1.000000,75.58333333333333,1814,24,web-browsing
1693898084.251076,1693898085.251076,16,1136,1.000000,71.0,1136,16,web-browsing
1693898085.251076,1693898086.251076,5,349,1.000000,69.8,349,5,web-browsing
1693898086.251076,1693898087.251076,5,326,1.000000,65.2,326,5,web-browsing
1693898087.251076,1693898088.251076,12,1537,1.000000,128.08333333333334,1537,12,web-browsing
1693898088.251076,1693898089.251076,24,3961,1.000000,165.04166666666666,3961,24,web-browsing
1693898089.251076,1693898090.251076,26,1810,1.000000,69.61538461538461,1.81E+3,26,web-browsing
1693898090.251076,1693898091.251076,13,870,1.000000,66.92307692307692,8.7E+2,13,web-browsing
1693898091.251076,1693898092.251076,67,5359,1.000000,79.98507462686567,5359,67,web-browsing
1693898092.251076,1693898093.251076,10,661,1.000000,66.1,661,1E+1,web-browsing
1693898093.251076,1693898094.251076,6,1624,1.000000,270.6666666666667,1624,6,web-browsing
1693898094.251076,1693898095.251076,10,750,1.000000,75.0,7.5E+2,1E+1,web-browsing
1693898095.251076,1693898096.251076,7,466,1.000000,66.57142857142857,466,7,web-browsing
1693898096.251076,1693898097.251076,11,847,1.000000,77.0,847,11,web-browsing
1693898097.251076,1693898098.251076,17,1231,1.000000,72.41176470588235,1231,17,web-browsing
1693898098.251076,1693898099.251076,15,1081,1.000000,72.06666666666666,1081,15,web-browsing
1693898099.251076,1693898100.251076,7,546,1.000000,78.0,546,7,web-browsing
1693898100.251076,1693898101.251076,5,308,1.000000,61.6,308,5,web-browsing
1693898101.251076,1693898102.251076,14,972,1.000000,69.42857142857143,972,14,web-browsing
1693898102.251076,1693898103.251076,4,280,1.000000,70.0,2.8E+2,4,web-browsing
1693898103.251076,1693898104.251076,9,691,1.000000,76.77777777777777,691,9,web-browsing
1693898104.251076,1693898105.251076,11,792,1.000000,72.0,792,11,web-browsing
1693898105.251076,1693898106.251076,7,1530,1.000000,218.57142857142858,1.53E+3,7,web-browsing
1693898106.251076,1693898107.251076,51,5070,1.000000,99.41176470588235,5.07E+3,51,web-browsing
1693898107.251076,1693898108.251076,14,919,1.000000,65.64285714285714,919,14,web-browsing
1693898108.251076,1693898109.251076,6,538,1.000000,89.66666666666667,538,6,web-browsing
1693898109.251076,1693898110.251076,27,2118,1.000000,78.44444444444444,2118,27,web-browsing
1693898110.251076,1693898111.251076,7,585,1.000000,83.57142857142857,585,7,web-browsing
1693898111.251076,1693898112.251076,66,17432,1.000000,264.1212121212121,17432,66,web-browsing
1693898112.251076,1693898113.251076,56,16122,1.000000,287.89285714285717,16122,56,web-browsing
1693898113.251076,1693898114.251076,54,10919,1.000000,202.2037037037037,10919,54,web-browsing
1693898114.251076,1693898115.251076,6804,3729125,1.000000,548.0783362727807,3729125,6804,web-browsing
1693898115.251076,1693898116.251076,56,19542,1.000000,348.9642857142857,19542,56,web-browsing
1693898116.251076,1693898117.251076,27,2198,1.000000,81.4074074074074,2198,27,web-browsing
1693898117.251076,1693898118.251076,1604,873819,1.000000,544.7749376558603,873819,1604,web-browsing
1693898118.251076,1693898119.251076,355,149033,1.000000,419.8112676056338,149033,355,web-browsing
1693898119.251076,1693898120.251076,41,15306,1.000000,373.3170731707317,15306,41,web-browsing
1693898120.251076,1693898121.251076,147,61777,1.000000,420.2517006802721,61777,147,web-browsing
1693898121.251076,1693898122.251076,2666,1538151,1.000000,576.9508627156789,1538151,2666,web-browsing
1693898122.251076,1693898123.251076,115,54924,1.000000,477.6,54924,115,web-browsing
1693898123.251076,1693898124.251076,14,1190,1.000000,85.0,1.19E+3,14,web-browsing
1693898124.251076,1693898125.251076,17,1348,1.000000,79.29411764705883,1348,17,web-browsing
1693898125.251076,1693898126.251076,347,99932,1.000000,287.9884726224784,99932,347,web-browsing
1693898126.251076,1693898127.251076,14,3364,1.000000,240.28571428571428,3364,14,web-browsing
1693898127.251076,1693898128.251076,8,955,1.000000,119.375,955,8,web-browsing
1693898128.251076,1693898129.251076,51,9070,1.000000,177.84313725490196,9.07E+3,51,web-browsing
1693898129.251076,1693898130.251076,551,330490,1.000000,599.8003629764065,3.3049E+5,551,web-browsing
1693898130.251076,1693898131.251076,15,1145,1.000000,76.33333333333333,1145,15,web-browsing
1693898131.251076,1693898132.251076,57,18628,1.000000,326.8070175438597,18628,57,web-browsing
1693898132.251076,1693898133.251076,4,280,1.000000,70.0,2.8E+2,4,web-browsing
