flow_id,packets,bytes,duration,avg_pkt_size,syn_count,ack_count,fin_count,rst_count,class
61.139.26.122:57736-113.108.27.67:443-6,8.0,1458.0,0.32155394554138184,182.25,1.0,7.0,0.0,0.0,instant-message
61.139.26.122:57737-113.108.27.67:443-6,8.0,1458.0,0.33600497245788574,182.25,1.0,7.0,0.0,0.0,instant-message
113.108.27.67:443-61.139.26.122:57736-6,11.0,4937.0,0.28523993492126465,448.8181818181818,1.0,11.0,1.0,0.0,instant-message
95.175.63.238:443-95.137.109.27:57736-6,11.0,4873.0,0.2856719493865967,443.0,1.0,11.0,1.0,0.0,instant-message
113.108.27.67:443-61.139.26.122:57737-6,11.0,4937.0,0.29837489128112793,448.8181818181818,1.0,11.0,1.0,0.0,instant-message
95.175.63.238:443-95.137.109.27:57737-6,11.0,4873.0,0.29835081100463867,443.0,1.0,11.0,1.0,0.0,instant-message
95.137.109.27:57723-131.130.231.131:80-6,71.0,22778.0,19.015550136566162,320.8169014084507,0.0,71.0,1.0,0.0,instant-message
61.139.26.122:57723-121.14.193.44:80-6,71.0,23352.0,19.01484990119934,328.90140845070425,0.0,71.0,1.0,0.0,instant-message
113.108.27.67:443-61.139.26.122:57735-6,11.0,5217.0,0.19355988502502441,474.27272727272725,1.0,11.0,1.0,0.0,instant-message
95.175.63.238:443-95.137.109.27:57735-6,11.0,5159.0,0.19429397583007812,469.0,1.0,11.0,1.0,0.0,instant-message
121.14.193.44:80-61.139.26.122:57723-6,103.0,28957.0,18.975770950317383,281.13592233009706,0.0,103.0,1.0,0.0,instant-message
131.130.231.131:80-95.137.109.27:57723-6,103.0,28523.0,18.975709915161133,276.92233009708735,0.0,103.0,1.0,0.0,instant-message
61.139.26.122:37144-218.78.39.160:6880-6,6.0,738.0,200.25327682495117,123.0,0.0,6.0,0.0,0.0,instant-message
218.78.39.160:6880-61.139.26.122:37144-6,3.0,360.0,200.2143280506134,120.0,0.0,3.0,0.0,0.0,instant-message
172.104.144.88:57952-61.139.26.122:61807-6,2.0,124.0,0.3316340446472168,62.0,1.0,0.0,0.0,1.0,instant-message
61.139.26.122:61807-172.104.144.88:57952-6,1.0,62.0,0.0,62.0,0.0,1.0,0.0,1.0,instant-message
40.117.56.16:2103-180.74.13.14:2103-17,60.0,7860.0,295.24567580223083,131.0,0.0,0.0,0.0,0.0,instant-message
182.242.50.68:443-61.139.26.122:57716-6,2.0,124.0,15.105468988418579,62.0,0.0,2.0,1.0,0.0,instant-message
189.169.52.229:443-95.137.109.27:57716-6,2.0,120.0,15.104832172393799,60.0,0.0,2.0,1.0,0.0,instant-message
95.137.109.27:57716-189.169.52.229:443-6,2.0,108.0,15.091655015945435,54.0,0.0,2.0,1.0,0.0,instant-message
61.139.26.122:57716-182.242.50.68:443-6,2.0,124.0,15.091354131698608,62.0,0.0,2.0,1.0,0.0,instant-message
182.242.50.68:443-61.139.26.122:57719-6,2.0,124.0,15.09871792793274,62.0,0.0,2.0,1.0,0.0,instant-message
182.242.50.68:443-61.139.26.122:57718-6,2.0,124.0,15.098675966262817,62.0,0.0,2.0,1.0,0.0,instant-message
182.242.50.68:443-61.139.26.122:57715-6,2.0,124.0,15.097085952758789,62.0,0.0,2.0,1.0,0.0,instant-message
189.169.52.229:443-95.137.109.27:57719-6,2.0,120.0,15.098180055618286,60.0,0.0,2.0,1.0,0.0,instant-message
95.137.109.27:57719-189.169.52.229:443-6,2.0,108.0,15.084015130996704,54.0,0.0,2.0,1.0,0.0,instant-message
189.169.52.229:443-95.137.109.27:57718-6,2.0,120.0,15.098586082458496,60.0,0.0,2.0,1.0,0.0,instant-message
95.137.109.27:57718-189.169.52.229:443-6,2.0,108.0,15.083626985549927,54.0,0.0,2.0,1.0,0.0,instant-message
189.169.52.229:443-95.137.109.27:57715-6,2.0,120.0,15.09692096710205,60.0,0.0,2.0,1.0,0.0,instant-message
95.137.109.27:57715-189.169.52.229:443-6,2.0,108.0,15.083601951599121,54.0,0.0,2.0,1.0,0.0,instant-message
61.139.26.122:57719-182.242.50.68:443-6,2.0,124.0,15.084214925765991,62.0,0.0,2.0,1.0,0.0,instant-message
61.139.26.122:57718-182.242.50.68:443-6,2.0,124.0,15.08403205871582,62.0,0.0,2.0,1.0,0.0,instant-message
61.139.26.122:57715-182.242.50.68:443-6,2.0,124.0,15.08402395248413,62.0,0.0,2.0,1.0,0.0,instant-message
182.242.50.68:443-61.139.26.122:57717-6,2.0,124.0,15.089382886886597,62.0,0.0,2.0,1.0,0.0,instant-message
189.169.52.229:443-95.137.109.27:57717-6,2.0,120.0,15.089892864227295,60.0,0.0,2.0,1.0,0.0,instant-message
95.137.109.27:57717-189.169.52.229:443-6,2.0,108.0,15.073376178741455,54.0,0.0,2.0,1.0,0.0,instant-message
61.139.26.122:57717-182.242.50.68:443-6,2.0,124.0,15.07367491722107,62.0,0.0,2.0,1.0,0.0,instant-message
58.42.62.97:80-61.139.26.122:57726-6,2.0,124.0,14.21290111541748,62.0,0.0,2.0,1.0,0.0,instant-message
56.127.14.0:80-95.137.109.27:57726-6,2.0,120.0,14.21249794960022,60.0,0.0,2.0,1.0,0.0,instant-message
95.137.109.27:57726-56.127.14.0:80-6,2.0,108.0,14.198997974395752,54.0,0.0,2.0,1.0,0.0,instant-message
61.139.26.122:57726-58.42.62.97:80-6,2.0,124.0,14.199452877044678,62.0,0.0,2.0,1.0,0.0,instant-message
95.137.109.27:59862-81.179.190.60:53-17,1.0,70.0,0.0,70.0,0.0,0.0,0.0,0.0,instant-message
81.179.190.60:53-95.137.109.27:59862-17,1.0,119.0,0.0,119.0,0.0,0.0,0.0,0.0,instant-message
95.137.109.27:57739-194.242.47.149:443-6,9.0,1409.0,14.019147157669067,156.55555555555554,1.0,8.0,1.0,0.0,instant-message
61.139.26.122:57739-119.147.3.178:443-6,9.0,1481.0,14.019060134887695,164.55555555555554,1.0,8.0,1.0,0.0,instant-message
119.147.3.178:443-61.139.26.122:57739-6,10.0,4807.0,13.978686094284058,480.7,1.0,10.0,1.0,0.0,instant-message
194.242.47.149:443-95.137.109.27:57739-6,10.0,4751.0,13.978547811508179,475.1,1.0,10.0,1.0,0.0,instant-message
175.174.94.124:41093-61.139.26.122:23-6,1.0,62.0,0.0,62.0,1.0,0.0,0.0,0.0,instant-message
61.139.26.122:23-175.174.94.124:41093-6,1.0,62.0,0.0,62.0,0.0,1.0,0.0,1.0,instant-message
